,leaf,stem,reward,contingency,date,session,trial
132,5,C,1,202020808050,20210706,2,132
133,6,C,0,202020808050,20210706,2,133
134,5,C,1,202020808050,20210706,2,134
135,6,C,1,202020808050,20210706,2,135
136,5,C,1,202020808050,20210706,2,136
137,6,C,1,202020808050,20210706,2,137
138,5,C,1,202020808050,20210706,2,138
139,6,C,0,202020808050,20210706,2,139
140,5,C,1,202020808050,20210706,2,140
141,6,C,0,202020808050,20210706,2,141
142,5,C,1,202020808050,20210706,2,142
143,6,C,1,202020808050,20210706,2,143
144,5,C,0,202020808050,20210706,2,144
145,6,C,1,202020808050,20210706,2,145
146,5,C,0,202020808050,20210706,2,146
147,6,C,1,202020808050,20210706,2,147
148,5,C,1,202020808050,20210706,2,148
149,6,C,1,202020808050,20210706,2,149
150,5,C,1,202020808050,20210706,2,150
151,6,C,1,202020808050,20210706,2,151
152,5,C,1,202020808050,20210706,2,152
153,6,C,0,202020808050,20210706,2,153
154,5,C,1,202020808050,20210706,2,154
155,6,C,1,202020808050,20210706,2,155
156,5,C,1,202020808050,20210706,2,156
157,6,C,0,202020808050,20210706,2,157
158,5,C,1,202020808050,20210706,2,158
159,6,C,0,202020808050,20210706,2,159
160,5,C,1,202020808050,20210706,2,160
161,6,C,0,202020808050,20210706,2,161
162,5,C,1,202020808050,20210706,2,162
163,6,C,0,202020808050,20210706,2,163
164,5,C,1,202020808050,20210706,2,164
165,6,C,0,202020808050,20210706,2,165
166,5,C,0,202020808050,20210706,2,166
167,6,C,0,202020808050,20210706,2,167
168,5,C,1,202020808050,20210706,2,168
169,6,C,0,202020808050,20210706,2,169
170,5,C,1,202020808050,20210706,2,170
171,6,C,0,202020808050,20210706,2,171
172,5,C,1,202020808050,20210706,2,172
173,6,C,1,202020808050,20210706,2,173
174,5,C,1,202020808050,20210706,2,174
175,6,C,0,202020808050,20210706,2,175
176,5,C,1,202020808050,20210706,2,176
177,6,C,0,202020808050,20210706,2,177
178,5,C,0,202020808050,20210706,2,178
179,6,C,1,202020808050,20210706,2,179
180,3,B,1,502080205080,20210706,3,0
181,1,A,1,502080205080,20210706,3,1
182,2,A,1,502080205080,20210706,3,2
183,1,A,1,502080205080,20210706,3,3
184,2,A,0,502080205080,20210706,3,4
185,4,B,0,502080205080,20210706,3,5
186,3,B,1,502080205080,20210706,3,6
187,5,C,1,502080205080,20210706,3,7
188,6,C,1,502080205080,20210706,3,8
189,5,C,0,502080205080,20210706,3,9
190,2,A,0,502080205080,20210706,3,10
191,1,A,0,502080205080,20210706,3,11
192,2,A,0,502080205080,20210706,3,12
193,3,B,1,502080205080,20210706,3,13
194,4,B,0,502080205080,20210706,3,14
195,6,C,1,502080205080,20210706,3,15
196,5,C,0,502080205080,20210706,3,16
197,6,C,1,502080205080,20210706,3,17
198,5,C,0,502080205080,20210706,3,18
199,6,C,0,502080205080,20210706,3,19
200,3,B,1,502080205080,20210706,3,20
