full,nogo,old,nogonobias,null
381.6334844059706,387.4999831411455,384.986704401154,388.3134793156321,411.78185673754774
520.7087813473408,521.8166065498065,527.7832699184509,526.2014912934255,569.3932721602353
543.999578047353,546.840980258226,543.7123088974835,546.1445305729312,608.9753628869825
489.6817137627854,497.1954829679603,486.51752209300525,493.8920167862516,542.7350620088205
440.1549339379637,445.5940300089953,443.15705975451624,448.6774559901463,491.2515424802337
456.9699337611945,464.80839599932534,482.751915524769,490.1796103635106,534.4600755567192
364.61689451861616,369.4950069202709,386.5974294049594,389.2923177064525,427.77397413318425
478.68427260625646,477.23814951787716,481.03264169226117,480.7803395767948,533.7944325875319
