betago,betastay,betaleaf,stay,lr,spatial_bias_stem1,spatial_bias_stem2,spatial_bias_stem3
0.49705472251437266,1.7106498237450478,0.0,3.5382235393604096,-0.564437879253544,0.6178976366234068,0.3443793950885138,1.1296420118303245
0.49919819943980365,1.7110961388873713,0.0,3.8422941235121106,-0.4088220275227203,0.5373896557324833,0.10508537444995528,0.878271047478029
0.49772280314747297,1.7113877431577385,0.0,3.759881315689904,0.16468138771187477,0.17938249185940272,0.3857101268730714,-0.42117191471501225
0.4974635795537869,1.7112825990435891,0.0,4.001889685793523,0.3249786749018423,0.8620412705711133,0.21458843775738257,0.6016523288501405
0.5001590283795766,1.7106151308160933,0.0,3.9505890497479976,0.0845182246492247,0.9767318473095624,0.2818604069075181,0.2625054028833014
0.4996822429119014,1.710902444646961,0.0,4.090872323691611,0.12304433365505617,0.5371502737680574,0.39637083282519603,-0.4200233427557448
0.49805896218883705,1.7101292458888244,0.0,4.084336439174429,-0.15636829954611015,0.44949996274278314,0.5513416439992044,-0.7624087789425589
0.4994024552723153,1.710968441704948,0.0,4.055013872051194,-0.06499080054919466,-0.20304877247207598,0.5309551734811215,-0.6138615846301405
0.5002000871702094,1.7104259352559723,0.0,4.1027899754373935,-0.30045338222052154,-0.5813284195180214,0.6416540758713065,-0.9519204082657013
0.49976398013976114,1.7106153105614903,0.0,3.8672226258575884,-0.11549345042000758,-0.4803861423931533,0.4966457090150803,-0.31605592683109457
0.4988109005814717,1.711137580553565,0.0,4.133585663814695,0.2323396486982997,0.3800918409930836,0.40531247854050834,-0.09116395909584189
