betago,betastay,betaleaf,stay,lr,spatial_bias_stem1,spatial_bias_stem2,spatial_bias_stem3
2.2741823661557383,6.048525011512056,0.0,1.6402720184929789,0.0,0.6280102850528307,0.25980073230211864,1.0919190423563132
2.2736030995359506,7.448652703593131,0.0,1.6404907914073106,0.0,0.592477573622695,0.08917818247892512,0.8885237567845365
2.2746970730915614,6.771306260099943,0.0,1.6401603589005591,0.0,0.30121468519457206,0.3234116772324294,-0.41298427890785633
2.2727867218831457,7.4260775121824585,0.0,1.6408231112977838,0.0,0.8914592486026787,0.1646035659022312,0.662846093723633
2.274492419002922,7.3288491190239435,0.0,1.6408041550674284,0.0,1.0731503361471046,0.2473643666983439,0.3723637908376414
2.273720483920247,8.073074020269566,0.0,1.6407732129738768,0.0,0.711357239999193,0.4410227344520344,-0.3786636551787925
2.272832927504978,7.630786521779991,0.0,1.6417699376328205,0.0,0.5608564645162213,0.48881200128492486,-0.8503437126219162
2.273376922001228,7.879626496767412,0.0,1.641267370099397,0.0,-0.1233276265155485,0.4613082504429774,-0.48629959049458227
2.27347907861478,8.324064276799666,0.0,1.6412119870472304,0.0,-0.5941722477620149,0.7334386263853157,-0.8009119041164448
2.2734902824585728,7.157201303259594,0.0,1.6408366578590172,0.0,-0.4056855434445029,0.4402319985370439,-0.24316570504478788
2.2737515182143517,7.838430510173291,0.0,1.6410590132425842,0.0,0.5609843038125946,0.4017541384447284,0.11356178196561126
